year,sex,level_of_school,age,no_of_vice_principals
2011,F,PRIMARY,30 - 34,4
2011,MF,SECONDARY,30 - 34,11
2011,F,SECONDARY,30 - 34,5
2011,MF,PRE-UNIVERSITY,30 - 34,6
2011,F,PRE-UNIVERSITY,30 - 34,3
2011,MF,PRIMARY,35 - 39,75
2011,F,PRIMARY,35 - 39,44
2011,MF,SECONDARY,35 - 39,72
2011,F,SECONDARY,35 - 39,25
2011,MF,PRE-UNIVERSITY,35 - 39,9
2011,F,PRE-UNIVERSITY,35 - 39,6
2011,MF,PRIMARY,40 - 44,73
2011,F,PRIMARY,40 - 44,45
2011,MF,SECONDARY,40 - 44,77
2011,F,SECONDARY,40 - 44,36
2011,MF,PRE-UNIVERSITY,40 - 44,7
2011,F,PRE-UNIVERSITY,40 - 44,3
2011,MF,PRIMARY,45 - 49,48
2011,F,PRIMARY,45 - 49,39
2011,MF,SECONDARY,45 - 49,45
2011,F,SECONDARY,45 - 49,27
2011,MF,PRE-UNIVERSITY,45 - 49,5
2011,F,PRE-UNIVERSITY,45 - 49,2
2011,MF,PRIMARY,50 - 54,45
2011,F,PRIMARY,50 - 54,35
2011,MF,SECONDARY,50 - 54,54
2011,F,SECONDARY,50 - 54,36
2011,MF,PRE-UNIVERSITY,50 - 54,4
2011,F,PRE-UNIVERSITY,50 - 54,3
2012,MF,PRIMARY,30 - 34,6
2012,F,PRIMARY,30 - 34,4
2012,MF,SECONDARY,30 - 34,17
2012,F,SECONDARY,30 - 34,11
2012,MF,PRE-UNIVERSITY,30 - 34,7
2012,F,PRE-UNIVERSITY,30 - 34,3
2012,MF,PRIMARY,35 - 39,66
2012,F,PRIMARY,35 - 39,41
2012,MF,SECONDARY,35 - 39,74
2012,F,SECONDARY,35 - 39,31
2012,MF,PRE-UNIVERSITY,35 - 39,12
2012,F,PRE-UNIVERSITY,35 - 39,5
2012,MF,PRIMARY,40 - 44,91
2012,F,PRIMARY,40 - 44,50
2012,MF,SECONDARY,40 - 44,94
2012,F,SECONDARY,40 - 44,39
2012,MF,PRE-UNIVERSITY,40 - 44,7
2012,F,PRE-UNIVERSITY,40 - 44,4
2012,MF,PRIMARY,45 - 49,52
2012,F,PRIMARY,45 - 49,40
2012,MF,SECONDARY,45 - 49,43
2012,F,SECONDARY,45 - 49,25
2012,MF,PRE-UNIVERSITY,45 - 49,5
