year,sex,level_of_school,length_of_service,no_of_vice_principals
2000,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2001,MF,PRIMARY,0 - 9 YEARS,8
2001,F,PRIMARY,0 - 9 YEARS,5
2001,MF,SECONDARY,0 - 9 YEARS,17
2001,F,SECONDARY,0 - 9 YEARS,7
2001,MF,PRE-UNIVERSITY,0 - 9 YEARS,3
2001,F,PRE-UNIVERSITY,0 - 9 YEARS,0
2001,MF,PRIMARY,10 - 14 YEARS,23
2001,F,PRIMARY,10 - 14 YEARS,18
2001,MF,SECONDARY,10 - 14 YEARS,33
2001,F,SECONDARY,10 - 14 YEARS,22
2001,MF,PRE-UNIVERSITY,10 - 14 YEARS,7
2001,F,PRE-UNIVERSITY,10 - 14 YEARS,4
2001,MF,PRIMARY,15 - 19 YEARS,36
2001,F,PRIMARY,15 - 19 YEARS,27
2001,MF,SECONDARY,15 - 19 YEARS,46
2001,F,SECONDARY,15 - 19 YEARS,31
2001,MF,PRE-UNIVERSITY,15 - 19 YEARS,1
2001,F,PRE-UNIVERSITY,15 - 19 YEARS,1
2001,MF,PRIMARY,20 - 24 YEARS,26
2001,F,PRIMARY,20 - 24 YEARS,21
2001,MF,SECONDARY,20 - 24 YEARS,32
2001,F,SECONDARY,20 - 24 YEARS,23
2001,MF,PRE-UNIVERSITY,20 - 24 YEARS,3
2001,F,PRE-UNIVERSITY,20 - 24 YEARS,3
2001,MF,PRIMARY,25 - 29 YEARS,8
2001,F,PRIMARY,25 - 29 YEARS,6
2001,MF,SECONDARY,25 - 29 YEARS,7
2001,F,SECONDARY,25 - 29 YEARS,5
2001,MF,PRE-UNIVERSITY,25 - 29 YEARS,0
2001,F,PRE-UNIVERSITY,25 - 29 YEARS,0
2001,MF,PRIMARY,30 YEARS & ABOVE,60
2001,F,PRIMARY,30 YEARS & ABOVE,39
2001,MF,SECONDARY,30 YEARS & ABOVE,13
2001,F,SECONDARY,30 YEARS & ABOVE,9
2001,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2001,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2002,MF,PRIMARY,0 - 9 YEARS,8
2002,F,PRIMARY,0 - 9 YEARS,3
2002,MF,SECONDARY,0 - 9 YEARS,24
2002,F,SECONDARY,0 - 9 YEARS,6
2002,MF,PRE-UNIVERSITY,0 - 9 YEARS,4
2002,F,PRE-UNIVERSITY,0 - 9 YEARS,0
2002,MF,PRIMARY,10 - 14 YEARS,28
2002,F,PRIMARY,10 - 14 YEARS,22
2002,MF,SECONDARY,10 - 14 YEARS,25
2002,F,SECONDARY,10 - 14 YEARS,17
2002,MF,PRE-UNIVERSITY,10 - 14 YEARS,4
2002,F,PRE-UNIVERSITY,10 - 14 YEARS,3
2002,MF,PRIMARY,15 - 19 YEARS,30
2002,F,PRIMARY,15 - 19 YEARS,25
2002,MF,SECONDARY,15 - 19 YEARS,38
2002,F,SECONDARY,15 - 19 YEARS,25
2002,MF,PRE-UNIVERSITY,15 - 19 YEARS,2
2002,F,PRE-UNIVERSITY,15 - 19 YEARS,2
2002,MF,PRIMARY,20 - 24 YEARS,19
2002,F,PRIMARY,20 - 24 YEARS,15
2002,MF,SECONDARY,20 - 24 YEARS,26
2002,F,SECONDARY,20 - 24 YEARS,19
2002,MF,PRE-UNIVERSITY,20 - 24 YEARS,3
2002,F,PRE-UNIVERSITY,20 - 24 YEARS,3
2002,MF,PRIMARY,25 - 29 YEARS,5
2002,F,PRIMARY,25 - 29 YEARS,5
2002,MF,SECONDARY,25 - 29 YEARS,6
2002,F,SECONDARY,25 - 29 YEARS,4
2002,MF,PRE-UNIVERSITY,25 - 29 YEARS,0
2002,F,PRE-UNIVERSITY,25 - 29 YEARS,0
2002,MF,PRIMARY,30 YEARS & ABOVE,51
2002,F,PRIMARY,30 YEARS & ABOVE,36
2002,MF,SECONDARY,30 YEARS & ABOVE,11
2002,F,SECONDARY,30 YEARS & ABOVE,9
2002,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2002,F,PRE-UNIVERSITY,30 YEARS & ABOVE,2
2003,MF,PRIMARY,0 - 9 YEARS,3
2003,F,PRIMARY,0 - 9 YEARS,0
2003,MF,SECONDARY,0 - 9 YEARS,25
2003,F,SECONDARY,0 - 9 YEARS,6
2003,MF,PRE-UNIVERSITY,0 - 9 YEARS,5
2003,F,PRE-UNIVERSITY,0 - 9 YEARS,3
2003,MF,PRIMARY,10 - 14 YEARS,33
2003,F,PRIMARY,10 - 14 YEARS,23
2003,MF,SECONDARY,10 - 14 YEARS,32
2003,F,SECONDARY,10 - 14 YEARS,16
2003,MF,PRE-UNIVERSITY,10 - 14 YEARS,5
2003,F,PRE-UNIVERSITY,10 - 14 YEARS,4
2003,MF,PRIMARY,15 - 19 YEARS,28
2003,F,PRIMARY,15 - 19 YEARS,23
2003,MF,SECONDARY,15 - 19 YEARS,31
2003,F,SECONDARY,15 - 19 YEARS,18
2003,MF,PRE-UNIVERSITY,15 - 19 YEARS,4
2003,F,PRE-UNIVERSITY,15 - 19 YEARS,3
2003,MF,PRIMARY,20 - 24 YEARS,36
2003,F,PRIMARY,20 - 24 YEARS,30
2003,MF,SECONDARY,20 - 24 YEARS,30
2003,F,SECONDARY,20 - 24 YEARS,21
2003,MF,PRE-UNIVERSITY,20 - 24 YEARS,3
2003,F,PRE-UNIVERSITY,20 - 24 YEARS,3
2003,MF,PRIMARY,25 - 29 YEARS,3
2003,F,PRIMARY,25 - 29 YEARS,3
2003,MF,SECONDARY,25 - 29 YEARS,18
2003,F,SECONDARY,25 - 29 YEARS,16
2003,MF,PRE-UNIVERSITY,25 - 29 YEARS,1
