month,level_1,level_2,total_loans
2005-09,Consumer,Professional and Private Individuals - Car Loans,12612.8
2005-09,Consumer,Professional and Private Individuals - Credit Cards,3495.7
2005-09,Consumer,Professional and Private Individuals - Share Financing,526.2
2005-09,Consumer,Professional and Private Individuals - Others,28637.9
2005-10,Business,"Agriculture, Mining and Quarrying",2897.2
2005-10,Business,Manufacturing,32953.8
2005-10,Business,Building and Construction,29203.1
2005-10,Business,General Commerce,36416.8
2005-10,Business,"Transport, Storage and Communication",26351.9
2005-10,Business,Business Services,4950.9
2005-10,Business,Financial Institutions,65675
2005-10,Business,Professional and Private Individuals - Business Purposes,4822
2005-10,Business,Others,20647.9
2005-10,Consumer,Housing and Bridging Loans,62984.6
2005-10,Consumer,Professional and Private Individuals - Car Loans,12562.4
2005-10,Consumer,Professional and Private Individuals - Credit Cards,3535.6
2005-10,Consumer,Professional and Private Individuals - Share Financing,516.7
2005-10,Consumer,Professional and Private Individuals - Others,28868.9
2005-11,Business,"Agriculture, Mining and Quarrying",2680
2005-11,Business,Manufacturing,33088.3
2005-11,Business,Building and Construction,29198.7
2005-11,Business,General Commerce,35357.4
2005-11,Business,"Transport, Storage and Communication",25831.3
2005-11,Business,Business Services,4841.2
2005-11,Business,Financial Institutions,87380
2005-11,Business,Professional and Private Individuals - Business Purposes,3984.6
2005-11,Business,Others,20983.8
2005-11,Consumer,Housing and Bridging Loans,63183.9
2005-11,Consumer,Professional and Private Individuals - Car Loans,12572.2
2005-11,Consumer,Professional and Private Individuals - Credit Cards,3644.4
2005-11,Consumer,Professional and Private Individuals - Share Financing,499.8
2005-11,Consumer,Professional and Private Individuals - Others,29726.2
2005-12,Business,"Agriculture, Mining and Quarrying",2711.1
2005-12,Business,Manufacturing,31832.3
2005-12,Business,Building and Construction,29544.5
2005-12,Business,General Commerce,35337.6
2005-12,Business,"Transport, Storage and Communication",26159.7
2005-12,Business,Business Services,4624.5
2005-12,Business,Financial Institutions,92636.3
2005-12,Business,Professional and Private Individuals - Business Purposes,3727.4
2005-12,Business,Others,20952.5
2005-12,Consumer,Housing and Bridging Loans,63398.9
2005-12,Consumer,Professional and Private Individuals - Car Loans,12578.4
2005-12,Consumer,Professional and Private Individuals - Credit Cards,3794
2005-12,Consumer,Professional and Private Individuals - Share Financing,514.1
2005-12,Consumer,Professional and Private Individuals - Others,29338.1
2006-01,Business,"Agriculture, Mining and Quarrying",2798
2006-01,Business,Manufacturing,32295
2006-01,Business,Building and Construction,29243.7
2006-01,Business,General Commerce,34549.9
2006-01,Business,"Transport, Storage and Communication",26376.2
2006-01,Business,Business Services,4847.5
2006-01,Business,Financial Institutions,90519.9
2006-01,Business,Professional and Private Individuals - Business Purposes,3607.3
2006-01,Business,Others,20182.3
2006-01,Consumer,Housing and Bridging Loans,63547.4
2006-01,Consumer,Professional and Private Individuals - Car Loans,12581.4
2006-01,Consumer,Professional and Private Individuals - Credit Cards,3723.7
2006-01,Consumer,Professional and Private Individuals - Share Financing,512.4
2006-01,Consumer,Professional and Private Individuals - Others,28827.4
2006-02,Business,"Agriculture, Mining and Quarrying",2879.9
2006-02,Business,Manufacturing,31695.2
2006-02,Business,Building and Construction,30254.2
2006-02,Business,General Commerce,34340.7
2006-02,Business,"Transport, Storage and Communication",26752.9
2006-02,Business,Business Services,4699.1
2006-02,Business,Financial Institutions,92795.1
2006-02,Business,Professional and Private Individuals - Business Purposes,3608.1
2006-02,Business,Others,19332.6
2006-02,Consumer,Housing and Bridging Loans,63587.5
2006-02,Consumer,Professional and Private Individuals - Car Loans,12522.3
2006-02,Consumer,Professional and Private Individuals - Credit Cards,3650.1
2006-02,Consumer,Professional and Private Individuals - Share Financing,499.2
2006-02,Consumer,Professional and Private Individuals - Others,29088.7
2006-03,Business,"Agriculture, Mining and Quarrying",3576.3
2006-03,Business,Manufacturing,32161.4
2006-03,Business,Building and Construction,29600.4
2006-03,Business,General Commerce,33383
2006-03,Business,"Transport, Storage and Communication",26915.1
2006-03,Business,Business Services,4595.2
2006-03,Business,Financial Institutions,85356.3
2006-03,Business,Professional and Private Individuals - Business Purposes,3543.8
2006-03,Business,Others,18286.8
2006-03,Consumer,Housing and Bridging Loans,63513.5
2006-03,Consumer,Professional and Private Individuals - Car Loans,12464.8
2006-03,Consumer,Professional and Private Individuals - Credit Cards,3617.3
2006-03,Consumer,Professional and Private Individuals - Share Financing,487.2
2006-03,Consumer,Professional and Private Individuals - Others,28992.5
2006-04,Business,"Agriculture, Mining and Quarrying",3650.4
2006-04,Business,Manufacturing,32360.3
2006-04,Business,Building and Construction,30298
2006-04,Business,General Commerce,34217.4
2006-04,Business,"Transport, Storage and Communication",27374.1
2006-04,Business,Business Services,4749.1
2006-04,Business,Financial Institutions,95644.3
2006-04,Business,Professional and Private Individuals - Business Purposes,3502.6
2006-04,Business,Others,17880.8
2006-04,Consumer,Housing and Bridging Loans,63465.6
