month,level_1,level_2,total_loans
2014-02,Business,"Transport, Storage and Communication",77254.3
2014-02,Business,Business Services,14999.3
2014-02,Business,Financial Institutions,180563.4
2014-02,Business,Professional and Private Individuals - Business Purposes,13537.5
2014-02,Business,Others,120404.2
2014-02,Consumer,Housing and Bridging Loans,171360.7
2014-02,Consumer,Professional and Private Individuals - Car Loans,10307.8
2014-02,Consumer,Professional and Private Individuals - Credit Cards,9539.1
2014-02,Consumer,Professional and Private Individuals - Share Financing,1311.9
2014-02,Consumer,Professional and Private Individuals - Others,84078.9
2014-03,Business,"Agriculture, Mining and Quarrying",32197.4
2014-03,Business,Manufacturing,90214.4
2014-03,Business,Building and Construction,109052.5
2014-03,Business,General Commerce,173668.3
2014-03,Business,"Transport, Storage and Communication",76836.9
2014-03,Business,Business Services,14809.9
2014-03,Business,Financial Institutions,186672.7
2014-03,Business,Professional and Private Individuals - Business Purposes,14221.8
2014-03,Business,Others,116375.1
2014-03,Consumer,Housing and Bridging Loans,172061.8
2014-03,Consumer,Professional and Private Individuals - Car Loans,10113.3
2014-03,Consumer,Professional and Private Individuals - Credit Cards,9466.9
2014-03,Consumer,Professional and Private Individuals - Share Financing,1282.2
2014-03,Consumer,Professional and Private Individuals - Others,88804
2014-04,Business,"Agriculture, Mining and Quarrying",30668.9
2014-04,Business,Manufacturing,91634.2
2014-04,Business,Building and Construction,110995
2014-04,Business,General Commerce,173159.9
2014-04,Business,"Transport, Storage and Communication",76589.3
2014-04,Business,Business Services,14929.2
2014-04,Business,Financial Institutions,188808.7
2014-04,Business,Professional and Private Individuals - Business Purposes,14482.1
2014-04,Business,Others,119094.1
2014-04,Consumer,Housing and Bridging Loans,172683.9
2014-04,Consumer,Professional and Private Individuals - Car Loans,9906.9
2014-04,Consumer,Professional and Private Individuals - Credit Cards,9566
2014-04,Consumer,Professional and Private Individuals - Share Financing,1256.6
2014-04,Consumer,Professional and Private Individuals - Others,89778.6
2014-05,Business,"Agriculture, Mining and Quarrying",31354.2
2014-05,Business,Manufacturing,92009.5
2014-05,Business,Building and Construction,111938.1
2014-05,Business,General Commerce,177448
2014-05,Business,"Transport, Storage and Communication",76161.9
2014-05,Business,Business Services,14146.4
2014-05,Business,Financial Institutions,191153.8
2014-05,Business,Professional and Private Individuals - Business Purposes,14769.9
2014-05,Business,Others,119864.3
2014-05,Consumer,Housing and Bridging Loans,173898.9
2014-05,Consumer,Professional and Private Individuals - Car Loans,9719.3
2014-05,Consumer,Professional and Private Individuals - Credit Cards,9658.9
2014-05,Consumer,Professional and Private Individuals - Share Financing,1193.1
2014-05,Consumer,Professional and Private Individuals - Others,89934.6
2014-06,Business,"Agriculture, Mining and Quarrying",32529.4
2014-06,Business,Manufacturing,90790.8
2014-06,Business,Building and Construction,113395.8
2014-06,Business,General Commerce,174139.2
2014-06,Business,"Transport, Storage and Communication",77879.9
2014-06,Business,Business Services,14917.6
2014-06,Business,Financial Institutions,191448.3
2014-06,Business,Professional and Private Individuals - Business Purposes,15945.3
2014-06,Business,Others,125046.2
2014-06,Consumer,Housing and Bridging Loans,175059.6
2014-06,Consumer,Professional and Private Individuals - Car Loans,9556.4
2014-06,Consumer,Professional and Private Individuals - Credit Cards,9849.9
2014-06,Consumer,Professional and Private Individuals - Share Financing,1242
2014-06,Consumer,Professional and Private Individuals - Others,90918.4
2014-07,Business,"Agriculture, Mining and Quarrying",32691.6
2014-07,Business,Manufacturing,89786.7
2014-07,Business,Building and Construction,114366.6
2014-07,Business,General Commerce,173587
2014-07,Business,"Transport, Storage and Communication",76404.4
2014-07,Business,Business Services,16211.6
2014-07,Business,Financial Institutions,192144.5
2014-07,Business,Professional and Private Individuals - Business Purposes,16171.3
2014-07,Business,Others,122607.7
2014-07,Consumer,Housing and Bridging Loans,175809.8
2014-07,Consumer,Professional and Private Individuals - Car Loans,9365.3
2014-07,Consumer,Professional and Private Individuals - Credit Cards,9747.5
2014-07,Consumer,Professional and Private Individuals - Share Financing,1267.5
2014-07,Consumer,Professional and Private Individuals - Others,91627.7
2014-08,Business,"Agriculture, Mining and Quarrying",33605.6
2014-08,Business,Manufacturing,89993.2
2014-08,Business,Building and Construction,116616.3
2014-08,Business,General Commerce,172265.3
2014-08,Business,"Transport, Storage and Communication",78778.2
2014-08,Business,Business Services,15541.5
2014-08,Business,Financial Institutions,192089.2
2014-08,Business,Professional and Private Individuals - Business Purposes,16045.6
2014-08,Business,Others,121945.1
2014-08,Consumer,Housing and Bridging Loans,176712.5
2014-08,Consumer,Professional and Private Individuals - Car Loans,9213.6
2014-08,Consumer,Professional and Private Individuals - Credit Cards,9792.2
2014-08,Consumer,Professional and Private Individuals - Share Financing,1182
2014-08,Consumer,Professional and Private Individuals - Others,92121
2014-09,Business,"Agriculture, Mining and Quarrying",35582.8
2014-09,Business,Manufacturing,89129.8
2014-09,Business,Building and Construction,116326.1
2014-09,Business,General Commerce,173872.4
2014-09,Business,"Transport, Storage and Communication",79913.9
2014-09,Business,Business Services,15676.2
2014-09,Business,Financial Institutions,193147.3
2014-09,Business,Professional and Private Individuals - Business Purposes,16294.6
2014-09,Business,Others,120720.6
2014-09,Consumer,Housing and Bridging Loans,177655.9
2014-09,Consumer,Professional and Private Individuals - Car Loans,9054.7
2014-09,Consumer,Professional and Private Individuals - Credit Cards,9985.4
2014-09,Consumer,Professional and Private Individuals - Share Financing,1186
2014-09,Consumer,Professional and Private Individuals - Others,93297.7
2014-10,Business,"Agriculture, Mining and Quarrying",35951.8
2014-10,Business,Manufacturing,88229.4
2014-10,Business,Building and Construction,120552.7
2014-10,Business,General Commerce,171602.4
2014-10,Business,"Transport, Storage and Communication",78787.7
2014-10,Business,Business Services,15906.2
2014-10,Business,Financial Institutions,197005.9
2014-10,Business,Professional and Private Individuals - Business Purposes,17320.6
2014-10,Business,Others,115399.1
2014-10,Consumer,Housing and Bridging Loans,178581.8
2014-10,Consumer,Professional and Private Individuals - Car Loans,8898.9
2014-10,Consumer,Professional and Private Individuals - Credit Cards,9998.2
2014-10,Consumer,Professional and Private Individuals - Share Financing,1112.3
2014-10,Consumer,Professional and Private Individuals - Others,93317.5
2014-11,Business,"Agriculture, Mining and Quarrying",36507.7
2014-11,Business,Manufacturing,91264.2
2014-11,Business,Building and Construction,122833.3
2014-11,Business,General Commerce,174139.8
2014-11,Business,"Transport, Storage and Communication",81165.2
2014-11,Business,Business Services,16694.6
2014-11,Business,Financial Institutions,201709.7
2014-11,Business,Professional and Private Individuals - Business Purposes,17772.5
2014-11,Business,Others,112337.3
2014-11,Consumer,Housing and Bridging Loans,179324.3
2014-11,Consumer,Professional and Private Individuals - Car Loans,8778
2014-11,Consumer,Professional and Private Individuals - Credit Cards,10219.1
2014-11,Consumer,Professional and Private Individuals - Share Financing,1130.1
2014-11,Consumer,Professional and Private Individuals - Others,94141.7
2014-12,Business,"Agriculture, Mining and Quarrying",35865.2
2014-12,Business,Manufacturing,89083.6
2014-12,Business,Building and Construction,124725.4
2014-12,Business,General Commerce,170897.4
2014-12,Business,"Transport, Storage and Communication",84210.9
2014-12,Business,Business Services,17105
2014-12,Business,Financial Institutions,199053.6
2014-12,Business,Professional and Private Individuals - Business Purposes,17965.1
2014-12,Business,Others,114788.8
2014-12,Consumer,Housing and Bridging Loans,180860.4
2014-12,Consumer,Professional and Private Individuals - Car Loans,8641.8
2014-12,Consumer,Professional and Private Individuals - Credit Cards,10422.4
2014-12,Consumer,Professional and Private Individuals - Share Financing,1113.4
2014-12,Consumer,Professional and Private Individuals - Others,94167.7
2015-01,Business,"Agriculture, Mining and Quarrying",37433.2
2015-01,Business,Manufacturing,93755.2
2015-01,Business,Building and Construction,125575.8
2015-01,Business,General Commerce,168475.5
2015-01,Business,"Transport, Storage and Communication",84470.7
2015-01,Business,Business Services,16216
2015-01,Business,Financial Institutions,203546.5
2015-01,Business,Professional and Private Individuals - Business Purposes,18192.7
2015-01,Business,Others,115871.5
2015-01,Consumer,Housing and Bridging Loans,182095.7
2015-01,Consumer,Professional and Private Individuals - Car Loans,8528.6
2015-01,Consumer,Professional and Private Individuals - Credit Cards,10222.3
2015-01,Consumer,Professional and Private Individuals - Share Financing,1216.1
2015-01,Consumer,Professional and Private Individuals - Others,95521.5
2015-02,Business,"Agriculture, Mining and Quarrying",37767.3
2015-02,Business,Manufacturing,94293.6
2015-02,Business,Building and Construction,125081.1
2015-02,Business,General Commerce,167190
2015-02,Business,"Transport, Storage and Communication",84583.3
2015-02,Business,Business Services,16479.4
2015-02,Business,Financial Institutions,203437.1
2015-02,Business,Professional and Private Individuals - Business Purposes,18062.3
2015-02,Business,Others,116361
2015-02,Consumer,Housing and Bridging Loans,181721.9
2015-02,Consumer,Professional and Private Individuals - Car Loans,8428.5
2015-02,Consumer,Professional and Private Individuals - Credit Cards,10166.4
2015-02,Consumer,Professional and Private Individuals - Share Financing,1187.7
2015-02,Consumer,Professional and Private Individuals - Others,96877.9
2015-03,Business,"Agriculture, Mining and Quarrying",37973.4
2015-03,Business,Manufacturing,95081.3
2015-03,Business,Building and Construction,126204.6
2015-03,Business,General Commerce,166608.8
2015-03,Business,"Transport, Storage and Communication",85239.8
2015-03,Business,Business Services,17166.1
2015-03,Business,Financial Institutions,203220.3
2015-03,Business,Professional and Private Individuals - Business Purposes,18091.8
2015-03,Business,Others,120084.4
2015-03,Consumer,Housing and Bridging Loans,182461.4
2015-03,Consumer,Professional and Private Individuals - Car Loans,8289.8
2015-03,Consumer,Professional and Private Individuals - Credit Cards,9943.4
2015-03,Consumer,Professional and Private Individuals - Share Financing,1130.7
2015-03,Consumer,Professional and Private Individuals - Others,97663
2015-04,Business,"Agriculture, Mining and Quarrying",36909.4
2015-04,Business,Manufacturing,90736.9
2015-04,Business,Building and Construction,125985
2015-04,Business,General Commerce,163024.2
2015-04,Business,"Transport, Storage and Communication",81718.3
2015-04,Business,Business Services,16366.6
2015-04,Business,Financial Institutions,198660.2
2015-04,Business,Professional and Private Individuals - Business Purposes,18226.1
2015-04,Business,Others,115515.3
2015-04,Consumer,Housing and Bridging Loans,181989.1
2015-04,Consumer,Professional and Private Individuals - Car Loans,8198.8
2015-04,Consumer,Professional and Private Individuals - Credit Cards,9606.6
2015-04,Consumer,Professional and Private Individuals - Share Financing,1127.3
2015-04,Consumer,Professional and Private Individuals - Others,95446
2015-05,Business,"Agriculture, Mining and Quarrying",37730.4
2015-05,Business,Manufacturing,91129.6
2015-05,Business,Building and Construction,126501.1
2015-05,Business,General Commerce,168152.5
2015-05,Business,"Transport, Storage and Communication",80503.9
2015-05,Business,Business Services,16160.6
2015-05,Business,Financial Institutions,201930.5
2015-05,Business,Professional and Private Individuals - Business Purposes,18507.8
2015-05,Business,Others,114597
2015-05,Consumer,Housing and Bridging Loans,182031.6
2015-05,Consumer,Professional and Private Individuals - Car Loans,8110.9
2015-05,Consumer,Professional and Private Individuals - Credit Cards,9636.5
2015-05,Consumer,Professional and Private Individuals - Share Financing,1197.2
2015-05,Consumer,Professional and Private Individuals - Others,96515.9
2015-06,Business,"Agriculture, Mining and Quarrying",36370.7
2015-06,Business,Manufacturing,90161.6
2015-06,Business,Building and Construction,140800.3
2015-06,Business,General Commerce,171617.5
2015-06,Business,"Transport, Storage and Communication",80953.1
2015-06,Business,Business Services,16237
2015-06,Business,Financial Institutions,192890.9
2015-06,Business,Professional and Private Individuals - Business Purposes,18226.7
2015-06,Business,Others,113585.3
2015-06,Consumer,Housing and Bridging Loans,183056
2015-06,Consumer,Professional and Private Individuals - Car Loans,8085.2
2015-06,Consumer,Professional and Private Individuals - Credit Cards,9737.2
2015-06,Consumer,Professional and Private Individuals - Share Financing,1191
2015-06,Consumer,Professional and Private Individuals - Others,98415.2
2015-07,Business,"Agriculture, Mining and Quarrying",37463.2
2015-07,Business,Manufacturing,90604.5
2015-07,Business,Building and Construction,142812
2015-07,Business,General Commerce,174990.6
2015-07,Business,"Transport, Storage and Communication",82462.1
2015-07,Business,Business Services,17248.3
2015-07,Business,Financial Institutions,191065.5
2015-07,Business,Professional and Private Individuals - Business Purposes,18006.3
2015-07,Business,Others,114883.2
2015-07,Consumer,Housing and Bridging Loans,184336.6
2015-07,Consumer,Professional and Private Individuals - Car Loans,8004.3
2015-07,Consumer,Professional and Private Individuals - Credit Cards,9812.9
2015-07,Consumer,Professional and Private Individuals - Share Financing,1158.2
2015-07,Consumer,Professional and Private Individuals - Others,98940.6
2015-08,Business,"Agriculture, Mining and Quarrying",38975.3
2015-08,Business,Manufacturing,89345.9
2015-08,Business,Building and Construction,144749.8
2015-08,Business,General Commerce,175910.8
2015-08,Business,"Transport, Storage and Communication",84863.5
2015-08,Business,Business Services,18793.9
2015-08,Business,Financial Institutions,196384.4
2015-08,Business,Professional and Private Individuals - Business Purposes,18059.6
2015-08,Business,Others,117699.2
2015-08,Consumer,Housing and Bridging Loans,184783.5
2015-08,Consumer,Professional and Private Individuals - Car Loans,7943.6
2015-08,Consumer,Professional and Private Individuals - Credit Cards,9820
2015-08,Consumer,Professional and Private Individuals - Share Financing,1022.6
2015-08,Consumer,Professional and Private Individuals - Others,100036.1
